cpt_code,descriptor,current_work_rvu,current_total_rvu,current_payment_estimate,source_label,first_commit,first_commit_date,first_commit_message,active_cms_rvu26c_row_present,likely_source,classification,site_specialty,appears_in_search,appears_in_case_builder,general_surgery_record,trauma_acs_relevant,priority_proxy_score
49654,"Laparoscopy, surgical; repair ventral hernia >10 cm",22.85,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,should be inactive/deleted,general_surgery,Yes,Yes,Yes,Yes,102.85
37229,"Revascularization, tibial/peroneal, atherectomy",12.64,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,specialty import,requires specialty review,vascular,Yes,Yes,No,No,102.64
19260,Excision of chest wall tumor including ribs,12.53,0,0.0,none stored,da31a1adeb860a57acde7ceb319cbf3e3c4cd072,2026-04-05,Phase 2: Validation engine + 110 case test suite (107/110 passing),No,unknown,requires specialty review,general_surgery,Yes,Yes,Yes,Yes,102.53
52647,Laser vaporization of prostate including control of postoperative bleeding with coagulation,10.89,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,requires specialty review,urology,Yes,Yes,No,No,100.89
49653,"Laparoscopy, surgical; repair ventral hernia 3-10 cm",20.28,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,should be inactive/deleted,general_surgery,Yes,Yes,Yes,Yes,100.28
35450,"Transluminal balloon angioplasty, renal or visceral artery",9.84,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,specialty import,requires specialty review,vascular,Yes,Yes,No,No,99.84
19304,"Mastectomy, subcutaneous",8.95,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,requires specialty review,general_surgery,Yes,Yes,Yes,Yes,98.95
15732,"Muscle/myocutaneous flap, head and neck",18.86,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,requires specialty review,plastic_surgery,Yes,Yes,No,No,98.86
37221,Iliac artery stent placement,8.72,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,specialty import,requires specialty review,vascular,Yes,Yes,No,No,98.72
37226,Femoral/popliteal stent placement,8.72,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,specialty import,requires specialty review,vascular,Yes,Yes,No,No,98.72
37220,Iliac artery angioplasty,7.16,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,specialty import,requires specialty review,vascular,Yes,Yes,No,No,97.16
37224,Femoral/popliteal angioplasty,7.16,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,specialty import,requires specialty review,vascular,Yes,Yes,No,No,97.16
47561,Laparoscopy surgical with guided transhepatic cholangiography with biopsy,6.78,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,requires specialty review,gastroenterology,Yes,Yes,No,Yes,96.78
92944,Percutaneous transluminal revascularization of chronic total occlusion each additional coronary artery,6.12,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,requires specialty review,interventional_cardiology,Yes,Yes,No,No,96.12
49657,"Laparoscopy, repair recurrent ventral hernia; 3-10 cm or larger",16,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,should be inactive/deleted,general_surgery,Yes,Yes,Yes,Yes,96.0
27445,Arthroplasty knee hinge prosthesis,20.89,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,should be re-imported from authoritative source,orthopedic_surgery,Yes,Yes,No,No,95.89
47560,Laparoscopy surgical with guided transhepatic cholangiography without biopsy,5.89,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,requires specialty review,gastroenterology,Yes,Yes,No,Yes,95.89
92934,Percutaneous transluminal coronary atherectomy with intracoronary stent each additional vessel,5.89,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,requires specialty review,interventional_cardiology,Yes,Yes,No,No,95.89
39400,"Mediastinoscopy; includes biopsy(ies), when performed",5.85,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,requires specialty review,cardiothoracic_surgery,Yes,Yes,No,Yes,95.85
47510,"Percutaneous biliary drainage, external",5.5,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,requires specialty review,general_surgery,Yes,Yes,Yes,Yes,95.5
92938,Percutaneous transluminal revascularization of or through coronary artery bypass graft each additional vessel,5.34,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,requires specialty review,vascular,Yes,Yes,No,No,95.34
32602,"Thoracoscopy, with biopsy",5.3,0,0.0,none stored,da31a1adeb860a57acde7ceb319cbf3e3c4cd072,2026-04-05,Phase 2: Validation engine + 110 case test suite (107/110 passing),No,unknown,requires specialty review,general_surgery,Yes,Yes,Yes,Yes,95.3
92925,Percutaneous transluminal coronary atherectomy with coronary angioplasty each additional vessel,5.23,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,requires specialty review,interventional_cardiology,Yes,Yes,No,No,95.23
92929,PCI with coronary stent; each additional branch (add-on),4.63,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,requires specialty review,general_surgery,Yes,Yes,Yes,Yes,94.63
47530,Revision and/or reinsertion of transhepatic tube,3.56,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,requires specialty review,gastroenterology,Yes,Yes,No,No,93.56
92977,Thrombolysis coronary by intravenous infusion,3.12,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,requires specialty review,interventional_cardiology,Yes,Yes,No,No,93.12
55700,"Prostate biopsy, any approach",2.96,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,specialty import,requires specialty review,urology,Yes,Yes,No,Yes,92.96
49656,"Laparoscopy, repair recurrent ventral hernia; <3 cm",12.5,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,should be inactive/deleted,general_surgery,Yes,Yes,Yes,Yes,92.5
47525,Change of percutaneous biliary drainage catheter,2.34,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,requires specialty review,gastroenterology,Yes,Yes,No,Yes,92.34
92975,Thrombolysis coronary by intracoronary infusion,1.9,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,requires specialty review,interventional_cardiology,Yes,Yes,No,No,91.9
64508,"Injection, anesthetic agent; carotid sinus (separate procedure)",1.85,0,0.0,none stored,e19bfce932d61792fe69f0de0f2b8cd38c929269,2026-04-05,"Phase 2 Data Dominance: CPT 3,069 | ICD-10 2,627",No,specialty import,requires specialty review,vascular,Yes,Yes,No,No,91.85
91122,Anorectal manometry,1.56,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,requires specialty review,gastroenterology,Yes,Yes,No,No,91.56
47505,Injection procedure for cholangiography through an existing catheter,1.23,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,requires specialty review,gastroenterology,Yes,Yes,No,No,91.23
91120,Rectal sensation tone and compliance test,1.23,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,requires specialty review,gastroenterology,Yes,Yes,No,No,91.23
27468,Lengthening of long bone tibia,15.67,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,should be re-imported from authoritative source,orthopedic_surgery,Yes,Yes,No,No,90.67
69605,"Mastoidectomy, complete, modified radical",14,0,0.0,none stored,da31a1adeb860a57acde7ceb319cbf3e3c4cd072,2026-04-05,Phase 2: Validation engine + 110 case test suite (107/110 passing),No,specialty import,should be re-imported from authoritative source,ent,Yes,Yes,No,No,89.0
49652,"Laparoscopy, surgical; repair initial ventral hernia",8.86,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,should be inactive/deleted,general_surgery,Yes,Yes,Yes,Yes,88.86
93532,Combined right heart catheterization and transseptal left heart catheterization through intact septum for congenital cardiac anomalies,8.34,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,requires specialty review,diagnostic_cardiology,Yes,Yes,No,No,88.34
93531,Combined right heart catheterization and retrograde left heart catheterization for congenital cardiac anomalies,7.89,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,requires specialty review,diagnostic_cardiology,Yes,Yes,No,No,87.89
49590,"Spigelian hernia repair, reducible",7.83,0,0.0,none stored,da31a1adeb860a57acde7ceb319cbf3e3c4cd072,2026-04-05,Phase 2: Validation engine + 110 case test suite (107/110 passing),No,unknown,should be inactive/deleted,general_surgery,Yes,Yes,Yes,Yes,87.83
