cpt_code,descriptor,current_work_rvu,current_total_rvu,current_payment_estimate,source_label,first_commit,first_commit_date,first_commit_message,active_cms_rvu26c_row_present,likely_source,classification,site_specialty,appears_in_search,appears_in_case_builder,general_surgery_record,trauma_acs_relevant,priority_proxy_score
49587,"Repair umbilical hernia, age 5 years or older; incarcerated or strangulated",9.13,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,should be inactive/deleted,hernia_repair,Yes,Yes,Yes,Yes,79.13
49590,"Spigelian hernia repair, reducible",7.83,0,0.0,none stored,da31a1adeb860a57acde7ceb319cbf3e3c4cd072,2026-04-05,Phase 2: Validation engine + 110 case test suite (107/110 passing),No,unknown,should be inactive/deleted,general_surgery,Yes,Yes,Yes,Yes,87.83
49652,"Laparoscopy, surgical; repair initial ventral hernia",8.86,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,should be inactive/deleted,general_surgery,Yes,Yes,Yes,Yes,88.86
49653,"Laparoscopy, surgical; repair ventral hernia 3-10 cm",20.28,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,should be inactive/deleted,general_surgery,Yes,Yes,Yes,Yes,100.28
49654,"Laparoscopy, surgical; repair ventral hernia >10 cm",22.85,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,should be inactive/deleted,general_surgery,Yes,Yes,Yes,Yes,102.85
49656,"Laparoscopy, repair recurrent ventral hernia; <3 cm",12.5,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,should be inactive/deleted,general_surgery,Yes,Yes,Yes,Yes,92.5
49657,"Laparoscopy, repair recurrent ventral hernia; 3-10 cm or larger",16,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,should be inactive/deleted,general_surgery,Yes,Yes,Yes,Yes,96.0
52647,Laser vaporization of prostate including control of postoperative bleeding with coagulation,10.89,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,requires specialty review,urology,Yes,Yes,No,No,100.89
55700,"Prostate biopsy, any approach",2.96,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,specialty import,requires specialty review,urology,Yes,Yes,No,Yes,92.96
57112,Exenteration of vagina; complete,35.4,0,0.0,none stored,99200a283ebf0e2a87bff1ea1cf6f3192f9c8a60,2026-04-24,Import 50 additional operative OB/GYN CPT codes,No,unknown,requires specialty review,obgyn,Yes,Yes,No,No,125.4
64402,Injection anesthetic agent facial nerve,1.34,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,should be re-imported from authoritative source,pain_management,Yes,Yes,No,No,76.34
64410,Injection anesthetic agent phrenic nerve,1.34,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,should be re-imported from authoritative source,pain_management,Yes,Yes,No,No,76.34
64412,Injection anesthetic agent spinal accessory nerve,1.34,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,should be re-imported from authoritative source,pain_management,Yes,Yes,No,No,76.34
64413,Injection anesthetic agent cervical plexus,1.56,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,should be re-imported from authoritative source,pain_management,Yes,Yes,No,No,76.56
64508,"Injection, anesthetic agent; carotid sinus (separate procedure)",1.85,0,0.0,none stored,e19bfce932d61792fe69f0de0f2b8cd38c929269,2026-04-05,"Phase 2 Data Dominance: CPT 3,069 | ICD-10 2,627",No,specialty import,requires specialty review,vascular,Yes,Yes,No,No,91.85
65455,Removal of corneal epithelium; with chelation,1.4,0,0.0,none stored,f51ab14ee20feaea261eb33c5e1d7abe623de3ed,2026-04-24,Sync ophthalmology codes across site data sources,No,specialty import,should be re-imported from authoritative source,ophthalmology,Yes,Yes,No,No,76.4
65470,Fistulectomy of cornea,4.2,0,0.0,none stored,f51ab14ee20feaea261eb33c5e1d7abe623de3ed,2026-04-24,Sync ophthalmology codes across site data sources,No,specialty import,should be re-imported from authoritative source,ophthalmology,Yes,Yes,No,No,79.2
65471,Fistulectomy of sclera,4.6,0,0.0,none stored,f51ab14ee20feaea261eb33c5e1d7abe623de3ed,2026-04-24,Sync ophthalmology codes across site data sources,No,specialty import,should be re-imported from authoritative source,ophthalmology,Yes,Yes,No,No,79.6
65472,Treatment of recurrent corneal erosion by laser,3.2,0,0.0,none stored,f51ab14ee20feaea261eb33c5e1d7abe623de3ed,2026-04-24,Sync ophthalmology codes across site data sources,No,specialty import,should be re-imported from authoritative source,ophthalmology,Yes,Yes,No,No,78.2
65473,Corneal relaxing incision for refractive correction,3.3,0,0.0,none stored,f51ab14ee20feaea261eb33c5e1d7abe623de3ed,2026-04-24,Sync ophthalmology codes across site data sources,No,specialty import,should be re-imported from authoritative source,ophthalmology,Yes,Yes,No,No,78.3
65474,Phototherapeutic keratectomy,4.8,0,0.0,none stored,f51ab14ee20feaea261eb33c5e1d7abe623de3ed,2026-04-24,Sync ophthalmology codes across site data sources,No,specialty import,should be re-imported from authoritative source,ophthalmology,Yes,Yes,No,No,79.8
65480,Destruction of lesion of sclera,2.5,0,0.0,none stored,f51ab14ee20feaea261eb33c5e1d7abe623de3ed,2026-04-24,Sync ophthalmology codes across site data sources,No,specialty import,should be re-imported from authoritative source,ophthalmology,Yes,Yes,No,No,77.5
65485,Translation or repositioning of corneal transplant,5.5,0,0.0,none stored,f51ab14ee20feaea261eb33c5e1d7abe623de3ed,2026-04-24,Sync ophthalmology codes across site data sources,No,specialty import,should be re-imported from authoritative source,ophthalmology,Yes,Yes,No,No,80.5
65490,"Removal of implanted material, anterior segment",4,0,0.0,none stored,f51ab14ee20feaea261eb33c5e1d7abe623de3ed,2026-04-24,Sync ophthalmology codes across site data sources,No,specialty import,should be re-imported from authoritative source,ophthalmology,Yes,Yes,No,No,79.0
65491,"Removal of implanted material, posterior segment",6.6,0,0.0,none stored,f51ab14ee20feaea261eb33c5e1d7abe623de3ed,2026-04-24,Sync ophthalmology codes across site data sources,No,specialty import,should be re-imported from authoritative source,ophthalmology,Yes,Yes,No,No,81.6
65897,Aqueous drainage device revision without extraocular reservoir,6.3,0,0.0,none stored,f51ab14ee20feaea261eb33c5e1d7abe623de3ed,2026-04-24,Sync ophthalmology codes across site data sources,No,specialty import,should be re-imported from authoritative source,ophthalmology,Yes,Yes,No,No,81.3
69605,"Mastoidectomy, complete, modified radical",14,0,0.0,none stored,da31a1adeb860a57acde7ceb319cbf3e3c4cd072,2026-04-05,Phase 2: Validation engine + 110 case test suite (107/110 passing),No,specialty import,should be re-imported from authoritative source,ent,Yes,Yes,No,No,89.0
72010,"XR spine, entire survey",0.75,0,0.0,none stored,e19bfce932d61792fe69f0de0f2b8cd38c929269,2026-04-05,"Phase 2 Data Dominance: CPT 3,069 | ICD-10 2,627",No,specialty import,should be re-imported from authoritative source,radiology,Yes,Yes,No,No,75.75
73500,Radiologic examination hip unilateral with pelvis when performed 1 view,0.22,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,should be re-imported from authoritative source,radiology,Yes,Yes,No,No,75.22
76001,Fluoroscopy physician or other qualified health care professional time more than 1 hour,2.34,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,should be re-imported from authoritative source,radiology,Yes,Yes,No,No,77.34
76101,Radiologic examination complex motion body section other than with urography,0.78,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,should be re-imported from authoritative source,radiology,Yes,Yes,No,No,75.78
76102,Radiologic examination complex motion body section other than with urography each additional section,0.34,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,should be re-imported from authoritative source,radiology,Yes,Yes,No,No,75.34
77014,CT guidance for drainage procedure,1.44,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,requires specialty review,interventional_radiology,Yes,Yes,No,No,81.44
77385,Intensity modulated radiation treatment delivery; simple,0.85,0,0.0,none stored,e19bfce932d61792fe69f0de0f2b8cd38c929269,2026-04-05,"Phase 2 Data Dominance: CPT 3,069 | ICD-10 2,627",No,specialty import,should be re-imported from authoritative source,radiation_oncology,Yes,Yes,No,No,75.85
77386,Intensity modulated radiation treatment delivery; complex,1.25,0,0.0,none stored,e19bfce932d61792fe69f0de0f2b8cd38c929269,2026-04-05,"Phase 2 Data Dominance: CPT 3,069 | ICD-10 2,627",No,specialty import,should be re-imported from authoritative source,radiation_oncology,Yes,Yes,No,No,76.25
77401,"Radiation treatment delivery, superficial and/or ortho voltage",0.2,0,0.0,none stored,e19bfce932d61792fe69f0de0f2b8cd38c929269,2026-04-05,"Phase 2 Data Dominance: CPT 3,069 | ICD-10 2,627",No,specialty import,should be re-imported from authoritative source,radiation_oncology,Yes,Yes,No,No,75.2
91120,Rectal sensation tone and compliance test,1.23,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,requires specialty review,gastroenterology,Yes,Yes,No,No,91.23
91122,Anorectal manometry,1.56,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,requires specialty review,gastroenterology,Yes,Yes,No,No,91.56
92925,Percutaneous transluminal coronary atherectomy with coronary angioplasty each additional vessel,5.23,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,requires specialty review,interventional_cardiology,Yes,Yes,No,No,95.23
92929,PCI with coronary stent; each additional branch (add-on),4.63,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,requires specialty review,general_surgery,Yes,Yes,Yes,Yes,94.63
92934,Percutaneous transluminal coronary atherectomy with intracoronary stent each additional vessel,5.89,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,requires specialty review,interventional_cardiology,Yes,Yes,No,No,95.89
92938,Percutaneous transluminal revascularization of or through coronary artery bypass graft each additional vessel,5.34,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,requires specialty review,vascular,Yes,Yes,No,No,95.34
92944,Percutaneous transluminal revascularization of chronic total occlusion each additional coronary artery,6.12,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,requires specialty review,interventional_cardiology,Yes,Yes,No,No,96.12
92975,Thrombolysis coronary by intracoronary infusion,1.9,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,requires specialty review,interventional_cardiology,Yes,Yes,No,No,91.9
92977,Thrombolysis coronary by intravenous infusion,3.12,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,requires specialty review,interventional_cardiology,Yes,Yes,No,No,93.12
93530,Right heart catheterization for congenital cardiac anomalies,2.93,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,requires specialty review,diagnostic_cardiology,Yes,Yes,No,No,82.93
93531,Combined right heart catheterization and retrograde left heart catheterization for congenital cardiac anomalies,7.89,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,requires specialty review,diagnostic_cardiology,Yes,Yes,No,No,87.89
