cpt_code,site_active_cpt,present_in_cms_rvu26c,cms_status_indicator,payment_status,site_specialty,site_descriptor,cms_descriptor,site_work_rvu,cms_work_rvu,site_total_rvu,cms_total_rvu,appears_in_search,appears_in_case_builder,classification,risk_score,recommended_remediation
00500,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Anesthesia for esophageal procedures,Anes all px on esophagus,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
00520,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Anesthesia for closed chest procedures,Anes closed chest px nos,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
00540,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,"Anesthesia for thoracotomy, not otherwise specified",Anes thoracotomy px nos,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
00560,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Anesthesia for cardiac procedures with pump oxygenator,Anes px heart w/o pump oxtj,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
00600,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Anesthesia for procedures on cervical spine,Anes px crv spine&cord nos,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
00620,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Anesthesia for procedures on thoracic spine,Anes px thrc spine&cord nos,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
00630,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Anesthesia for procedures on lumbar spine,Anes px lumbar region nos,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
00700,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Anesthesia for procedures on upper anterior abdominal wall,Anes px upr ant abd wall nos,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
00740,Yes,No,ABSENT,No row in CMS RVU26C baseline,anesthesia,Anesthesia for upper GI endoscopy,,5,,0,,Yes,Yes,anesthesia/base-unit code,50.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
00790,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Anesthesia for intraperitoneal upper abdominal procedures,Anes iper upr abd nos,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
00800,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Anesthesia for procedures on lower anterior abdominal wall,Anes px lwr ant abdl wal nos,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
00840,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Anesthesia for intraperitoneal lower abdominal procedures,Anes iper px lower abd nos,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
00860,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Anesthesia for renal procedures,Anes xtrprtl px lwr abd nos,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
00880,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Anesthesia for procedures on major abdominal blood vessels,Anes maj lwr abd vessel nos,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
00902,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Anesthesia for anorectal procedures,Anes anorectal px,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
00910,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Anesthesia for transurethral procedures,Anes transurethral px nos,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
00940,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Anesthesia for vaginal procedures,Anes vaginal px nos,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
01112,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Anesthesia for bone marrow aspiration,Anes bone marrow aspir&/bx,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
01200,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Anesthesia for procedures on hip joint,Anes all closed px hip joint,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
01210,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Anesthesia for open hip procedures,Anes open px hip joint nos,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
01214,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Anesthesia for total hip replacement,Anes open px tot hip arthrp,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
01400,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Anesthesia for procedures on knee,Anes opn/arthrs knee jt nos,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
01402,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Anesthesia for knee arthroplasty,Anes opn/arth tot kne arthrp,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
01480,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Anesthesia for open procedures on lower leg/ankle/foot,Anes open px lower l/a/f nos,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
01630,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Anesthesia for open shoulder procedures,Anes opn/arthr px sho jt nos,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
01710,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Anesthesia for elbow procedures,Anes px nrv musc upr a&e nos,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
01810,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Anesthesia for procedures on forearm/wrist/hand,Anes px nrv musc f/arm wrst,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
01920,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Anesthesia for cardiac catheterization,Anes cardiac catheterization,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
01924,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Anesthesia for therapeutic interventional radiology,Anes ther ivntl rad artl nos,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
01935,Yes,No,ABSENT,No row in CMS RVU26C baseline,anesthesia,Anesthesia for percutaneous liver procedures,,5,,0,,Yes,Yes,anesthesia/base-unit code,50.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
01936,Yes,No,ABSENT,No row in CMS RVU26C baseline,anesthesia,Anesthesia for percutaneous biliary procedures,,5,,0,,Yes,Yes,anesthesia/base-unit code,50.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
01960,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Anesthesia for vaginal delivery,Anes vaginal delivery only,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
01961,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Anesthesia for cesarean delivery,Anes cesarean delivery only,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
01967,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Epidural neuraxial analgesia for labor,Neuraxl lbr anes vag dlvr,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
01968,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Anesthesia for cesarean hysterectomy,Anes/analg cs dlvr neuraxial,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
01990,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Physiological support for organ harvesting,Physiol support hrvg organs,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
01999,Yes,Yes,J,"Anesthesia service; base-unit/payment methodology, no RVU total",anesthesia,Unlisted anesthesia procedure,Unlisted anes procedure,0,0.00,0,0.00,Yes,Yes,anesthesia/base-unit code,45.0,Keep active only if anesthesia base-unit workflow is intentional; classify as anesthesia/base-unit and prevent RVU/payment display as zero-dollar surgical CPT.
10011,Yes,Yes,C,Carrier-priced by Medicare contractor,interventional_radiology,"Core needle biopsy, first lesion, without imaging",Fna bx w/mr gdn 1st les,0,0.00,0,0.00,Yes,Yes,carrier-priced code,70.0,Classify as carrier-priced; keep searchable only with warning that Medicare payment is contractor-priced and not estimated by RVU formula.
11040,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,"Debridement; skin, partial thickness",,0.0,,0.0,,Yes,Yes,deleted/inactive code,108.0,"Move to inactive/deleted handling: remove from active search/Case Builder, keep URL with warning or redirect after replacement-family review."
11041,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,"Debridement; skin, full thickness",,0.0,,0.0,,Yes,Yes,deleted/inactive code,108.0,"Move to inactive/deleted handling: remove from active search/Case Builder, keep URL with warning or redirect after replacement-family review."
11100,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,"Biopsy of skin, subcutaneous tissue and/or mucous membrane (including simple closure), unless",,0.0,,0.0,,Yes,Yes,deleted/inactive code,108.0,"Move to inactive/deleted handling: remove from active search/Case Builder, keep URL with warning or redirect after replacement-family review."
11101,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,"Biopsy of skin, subcutaneous tissue and/or mucous membrane (including simple closure), unless",,0.0,,0.0,,Yes,Yes,deleted/inactive code,108.0,"Move to inactive/deleted handling: remove from active search/Case Builder, keep URL with warning or redirect after replacement-family review."
11752,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,"Excision of nail and nail matrix, partial or complete, eg, ingrown or deformed nail) for permanent",,0.0,,0.0,,Yes,Yes,deleted/inactive code,108.0,"Move to inactive/deleted handling: remove from active search/Case Builder, keep URL with warning or redirect after replacement-family review."
14300,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,"Adjacent tissue transfer or rearrangement, more than 30 sq cm, unusual or complicated, any area",,0.0,,0.0,,Yes,Yes,deleted/inactive code,108.0,"Move to inactive/deleted handling: remove from active search/Case Builder, keep URL with warning or redirect after replacement-family review."
15000,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,"Excisional preparation or creation of recipient site by excision of essentially intact skin (including subcutaneous tissues), scar, or other lesion prior to repair with free skin graft (list as separate service) Surgical preparation or creation of recipient site by excision of open wounds, burn eschar, or scar",,0.0,,0.0,,Yes,Yes,deleted/inactive code,108.0,"Move to inactive/deleted handling: remove from active search/Case Builder, keep URL with warning or redirect after replacement-family review."
15170,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,"Acellular dermal replacement, trunk, arms, legs; first 100 sq cm less, or 1 per cent of body area of infants",,0.0,,0.0,,Yes,Yes,deleted/inactive code,108.0,"Move to inactive/deleted handling: remove from active search/Case Builder, keep URL with warning or redirect after replacement-family review."
15171,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,"Acellular dermal replacement, trunk, arms, legs; each additional 100 sq cm, or each additional 1 per cent",,0.0,,0.0,,Yes,Yes,deleted/inactive code,108.0,"Move to inactive/deleted handling: remove from active search/Case Builder, keep URL with warning or redirect after replacement-family review."
15175,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,"Acellular dermal replacement, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and or",,0.0,,0.0,,Yes,Yes,deleted/inactive code,108.0,"Move to inactive/deleted handling: remove from active search/Case Builder, keep URL with warning or redirect after replacement-family review."
15176,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,"Acellular dermal replacement, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and or",,0.0,,0.0,,Yes,Yes,deleted/inactive code,108.0,"Move to inactive/deleted handling: remove from active search/Case Builder, keep URL with warning or redirect after replacement-family review."
15300,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,"Allograft skin for temporary wound closure, trunk, arms, legs; first 100 sq cm less, or 1 per cent of body area of infants and children",,0.0,,0.0,,Yes,Yes,deleted/inactive code,108.0,"Move to inactive/deleted handling: remove from active search/Case Builder, keep URL with warning or redirect after replacement-family review."
15301,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,"Allograft skin for temporary wound closure, trunk, arms, legs; each additional 100 sq cm, or each",,0.0,,0.0,,Yes,Yes,deleted/inactive code,108.0,"Move to inactive/deleted handling: remove from active search/Case Builder, keep URL with warning or redirect after replacement-family review."
15320,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,"Allograft skin for temporary wound closure, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and or multiple digits; first 100 sq cm or less, or 1 per cent of body area of infants and",,0.0,,0.0,,Yes,Yes,deleted/inactive code,108.0,"Move to inactive/deleted handling: remove from active search/Case Builder, keep URL with warning or redirect after replacement-family review."
15321,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,"Allograft skin for temporary wound closure, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and or multiple digits; each additional 100 sq cm, or each additional 1 per cent of body area",,0.0,,0.0,,Yes,Yes,deleted/inactive code,108.0,"Move to inactive/deleted handling: remove from active search/Case Builder, keep URL with warning or redirect after replacement-family review."
15330,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,"Acellular dermal allograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and or multiple digits; first 100 sq cm or less, or 1 per cent of body area of infants and children",,0.0,,0.0,,Yes,Yes,deleted/inactive code,108.0,"Move to inactive/deleted handling: remove from active search/Case Builder, keep URL with warning or redirect after replacement-family review."
15335,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,"Acellular dermal allograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and or multiple digits; first 100 sq cm or less, or 1 per cent of body area of infants and children",,0.0,,0.0,,Yes,Yes,deleted/inactive code,108.0,"Move to inactive/deleted handling: remove from active search/Case Builder, keep URL with warning or redirect after replacement-family review."
15336,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,"Acellular dermal allograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and or multiple digits; each additional 100 sq cm, or each additional 1 per cent of body area of infants and",,0.0,,0.0,,Yes,Yes,deleted/inactive code,108.0,"Move to inactive/deleted handling: remove from active search/Case Builder, keep URL with warning or redirect after replacement-family review."
15400,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,"Xenograft, skin dermal for temporary wound closure, trunk, arms, legs; first 100 sq cm less, or 1 per cent of body area of infants and children",,0.0,,0.0,,Yes,Yes,deleted/inactive code,108.0,"Move to inactive/deleted handling: remove from active search/Case Builder, keep URL with warning or redirect after replacement-family review."
15401,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,"Xenograft, skin dermal for temporary wound closure, trunk, arms, legs; each additional 100 sq cm, or each additional 1 per cent of body area of infants and children, or part thereof List separately in addition",,0.0,,0.0,,Yes,Yes,deleted/inactive code,108.0,"Move to inactive/deleted handling: remove from active search/Case Builder, keep URL with warning or redirect after replacement-family review."
15420,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,"Xenograft, skin dermal for temporary wound closure, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and or multiple digits; first 100 sq cm or less, or 1 per cent of body area of infants",,0.0,,0.0,,Yes,Yes,deleted/inactive code,108.0,"Move to inactive/deleted handling: remove from active search/Case Builder, keep URL with warning or redirect after replacement-family review."
15421,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,"Xenograft, skin dermal for temporary wound closure, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and or multiple digits; each additional 100 sq cm, or each additional 1 per cent of",,0.0,,0.0,,Yes,Yes,deleted/inactive code,108.0,"Move to inactive/deleted handling: remove from active search/Case Builder, keep URL with warning or redirect after replacement-family review."
15430,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,"Acellular xenograft implant; first 100 sq cm less, or 1 per cent of body area of infants and children",,0.0,,0.0,,Yes,Yes,deleted/inactive code,108.0,"Move to inactive/deleted handling: remove from active search/Case Builder, keep URL with warning or redirect after replacement-family review."
15431,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,"Acellular xenograft implant; each additional 100 sq cm, or each additional 1 per cent of body area of infants and children, or part thereof List separately in addition to code for primary procedure",,0.0,,0.0,,Yes,Yes,deleted/inactive code,108.0,"Move to inactive/deleted handling: remove from active search/Case Builder, keep URL with warning or redirect after replacement-family review."
15732,Yes,No,ABSENT,No row in CMS RVU26C baseline,plastic_surgery,"Muscle/myocutaneous flap, head and neck",,18.86,,0,,Yes,Yes,dataset defect,128.86,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
15847,Yes,Yes,C,Carrier-priced by Medicare contractor,plastic_surgery,"Excision, excessive skin, abdomen (abdominoplasty)",Exc skin abd add-on,0,0.00,0,0.00,Yes,Yes,carrier-priced code,70.0,Classify as carrier-priced; keep searchable only with warning that Medicare payment is contractor-priced and not estimated by RVU formula.
15850,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,"Removal of sutures under anesthesia (other than local), same surgeon",,0.0,,0.0,,Yes,Yes,deleted/inactive code,108.0,"Move to inactive/deleted handling: remove from active search/Case Builder, keep URL with warning or redirect after replacement-family review."
19260,Yes,No,ABSENT,No row in CMS RVU26C baseline,general_surgery,Excision of chest wall tumor including ribs,,12.53,,0,,Yes,Yes,dataset defect,130.53,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
19271,Yes,No,ABSENT,No row in CMS RVU26C baseline,general_surgery,"Excision of chest wall tumor including ribs, with reconstruction",,18.55,,0,,Yes,Yes,dataset defect,136.55,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
19272,Yes,No,ABSENT,No row in CMS RVU26C baseline,general_surgery,"Excision of chest wall tumor, including ribs, with mesh/prosthesis",,20.42,,0,,Yes,Yes,dataset defect,138.42,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
19304,Yes,No,ABSENT,No row in CMS RVU26C baseline,general_surgery,"Mastectomy, subcutaneous",,8.95,,0,,Yes,Yes,dataset defect,126.95,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
20000,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,"Incision of soft tissue abscess eg, secondary to osteomyelitis); superficial",,0.0,,0.0,,Yes,Yes,deleted/inactive code,108.0,"Move to inactive/deleted handling: remove from active search/Case Builder, keep URL with warning or redirect after replacement-family review."
