cpt_code,site_active_cpt,present_in_cms_rvu26c,cms_status_indicator,payment_status,site_specialty,site_descriptor,cms_descriptor,site_work_rvu,cms_work_rvu,site_total_rvu,cms_total_rvu,appears_in_search,appears_in_case_builder,classification,risk_score,recommended_remediation
15732,Yes,No,ABSENT,No row in CMS RVU26C baseline,plastic_surgery,"Muscle/myocutaneous flap, head and neck",,18.86,,0,,Yes,Yes,dataset defect,128.86,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
35450,Yes,No,ABSENT,No row in CMS RVU26C baseline,vascular,"Transluminal balloon angioplasty, renal or visceral artery",,9.84,,0,,Yes,Yes,dataset defect,127.84,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
19304,Yes,No,ABSENT,No row in CMS RVU26C baseline,general_surgery,"Mastectomy, subcutaneous",,8.95,,0,,Yes,Yes,dataset defect,126.95,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
49652,Yes,No,ABSENT,No row in CMS RVU26C baseline,general_surgery,"Laparoscopy, surgical; repair initial ventral hernia",,8.86,,0,,Yes,Yes,dataset defect,126.86,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
37221,Yes,No,ABSENT,No row in CMS RVU26C baseline,vascular,Iliac artery stent placement,,8.72,,0,,Yes,Yes,dataset defect,126.72,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
37226,Yes,No,ABSENT,No row in CMS RVU26C baseline,vascular,Femoral/popliteal stent placement,,8.72,,0,,Yes,Yes,dataset defect,126.72,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
49590,Yes,No,ABSENT,No row in CMS RVU26C baseline,general_surgery,"Spigelian hernia repair, reducible",,7.83,,0,,Yes,Yes,dataset defect,125.83,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
49566,Yes,No,ABSENT,No row in CMS RVU26C baseline,hernia_repair,Repair recurrent incisional or ventral hernia; incarcerated or strangulated (legacy/deleted 2023),,15.53,,0,,Yes,Yes,dataset defect,125.53,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
37220,Yes,No,ABSENT,No row in CMS RVU26C baseline,vascular,Iliac artery angioplasty,,7.16,,0,,Yes,Yes,dataset defect,125.16,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
37224,Yes,No,ABSENT,No row in CMS RVU26C baseline,vascular,Femoral/popliteal angioplasty,,7.16,,0,,Yes,Yes,dataset defect,125.16,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
22851,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,Application of intervertebral biomechanical device to vertebral defect,,6.78,,0,,Yes,Yes,dataset defect,124.78,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
47561,Yes,No,ABSENT,No row in CMS RVU26C baseline,gastroenterology,Laparoscopy surgical with guided transhepatic cholangiography with biopsy,,6.78,,0,,Yes,Yes,dataset defect,124.78,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
92944,Yes,No,ABSENT,No row in CMS RVU26C baseline,interventional_cardiology,Percutaneous transluminal revascularization of chronic total occlusion each additional coronary artery,,6.12,,0,,Yes,Yes,dataset defect,124.12,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
69605,Yes,No,ABSENT,No row in CMS RVU26C baseline,ent,"Mastoidectomy, complete, modified radical",,14,,0,,Yes,Yes,dataset defect,124.0,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
29020,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,Application of turnbuckle jacket body cast,,5.89,,0,,Yes,Yes,dataset defect,123.89,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
47560,Yes,No,ABSENT,No row in CMS RVU26C baseline,gastroenterology,Laparoscopy surgical with guided transhepatic cholangiography without biopsy,,5.89,,0,,Yes,Yes,dataset defect,123.89,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
92934,Yes,No,ABSENT,No row in CMS RVU26C baseline,interventional_cardiology,Percutaneous transluminal coronary atherectomy with intracoronary stent each additional vessel,,5.89,,0,,Yes,Yes,dataset defect,123.89,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
39400,Yes,No,ABSENT,No row in CMS RVU26C baseline,cardiothoracic_surgery,"Mediastinoscopy; includes biopsy(ies), when performed",,5.85,,0,,Yes,Yes,dataset defect,123.85,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
49582,Yes,No,ABSENT,No row in CMS RVU26C baseline,general_surgery,"Umbilical hernia repair, <5 years, incarcerated",,5.58,,0,,Yes,Yes,dataset defect,123.58,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
47510,Yes,No,ABSENT,No row in CMS RVU26C baseline,general_surgery,"Percutaneous biliary drainage, external",,5.5,,0,,Yes,Yes,dataset defect,123.5,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
92938,Yes,No,ABSENT,No row in CMS RVU26C baseline,vascular,Percutaneous transluminal revascularization of or through coronary artery bypass graft each additional vessel,,5.34,,0,,Yes,Yes,dataset defect,123.34,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
32602,Yes,No,ABSENT,No row in CMS RVU26C baseline,general_surgery,"Thoracoscopy, with biopsy",,5.3,,0,,Yes,Yes,dataset defect,123.3,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
92925,Yes,No,ABSENT,No row in CMS RVU26C baseline,interventional_cardiology,Percutaneous transluminal coronary atherectomy with coronary angioplasty each additional vessel,,5.23,,0,,Yes,Yes,dataset defect,123.23,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
92929,Yes,No,ABSENT,No row in CMS RVU26C baseline,general_surgery,PCI with coronary stent; each additional branch (add-on),,4.63,,0,,Yes,Yes,dataset defect,122.63,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
47530,Yes,No,ABSENT,No row in CMS RVU26C baseline,gastroenterology,Revision and/or reinsertion of transhepatic tube,,3.56,,0,,Yes,Yes,dataset defect,121.56,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
20926,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,"Tissue grafts other; fat, dermis, fascia",,3.45,,0,,Yes,Yes,dataset defect,121.45,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
92977,Yes,No,ABSENT,No row in CMS RVU26C baseline,interventional_cardiology,Thrombolysis coronary by intravenous infusion,,3.12,,0,,Yes,Yes,dataset defect,121.12,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
55700,Yes,No,ABSENT,No row in CMS RVU26C baseline,urology,"Prostate biopsy, any approach",,2.96,,0,,Yes,Yes,dataset defect,120.96,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
47525,Yes,No,ABSENT,No row in CMS RVU26C baseline,gastroenterology,Change of percutaneous biliary drainage catheter,,2.34,,0,,Yes,Yes,dataset defect,120.34,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
92975,Yes,No,ABSENT,No row in CMS RVU26C baseline,interventional_cardiology,Thrombolysis coronary by intracoronary infusion,,1.9,,0,,Yes,Yes,dataset defect,119.9,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
